leg_idx,registration,orig_registration,assigned_registration,tail_swap,is_ground_activity,ident,aircraft_type,body_type,origin,destination,orig_scheduled_out,orig_scheduled_in,shift_min,new_scheduled_out,new_scheduled_in
49,A6-ECF,A6-ECF,A6-ECF,False,False,UAE132,B77W,WB,DME,DXB,2026-07-08T20:10:00+00:00,2026-07-09T03:05:00+00:00,0,2026-07-08T20:10:00+00:00,2026-07-09T03:05:00+00:00
50,A6-ECF,A6-ECF,A6-ECF,False,True,*ECF,B77W,WB,DXB,DXB,2026-07-09T04:35:00+00:00,2026-07-10T16:00:00+00:00,0,2026-07-09T04:35:00+00:00,2026-07-10T16:00:00+00:00
51,A6-ECF,A6-ECF,A6-ECF,False,False,UAE314,B77W,WB,DXB,SIN,2026-07-10T17:00:00+00:00,2026-07-11T00:35:00+00:00,0,2026-07-10T17:00:00+00:00,2026-07-11T00:35:00+00:00
52,A6-ECF,A6-ECF,A6-ECF,False,False,UAE315,B77W,WB,SIN,DXB,2026-07-11T02:35:00+00:00,2026-07-11T09:45:00+00:00,0,2026-07-11T02:35:00+00:00,2026-07-11T09:45:00+00:00
53,A6-ECF,A6-ECF,A6-ECF,False,False,UAE821,B77W,WB,DXB,DMM,2026-07-11T16:50:00+00:00,2026-07-11T18:20:00+00:00,0,2026-07-11T16:50:00+00:00,2026-07-11T18:20:00+00:00
54,A6-ECF,A6-ECF,A6-ECF,False,False,UAE822,B77W,WB,DMM,DXB,2026-07-11T19:45:00+00:00,2026-07-11T21:00:00+00:00,0,2026-07-11T19:45:00+00:00,2026-07-11T21:00:00+00:00
55,A6-ECF,A6-ECF,A6-ECF,False,False,UAE929,B77W,WB,DXB,CAI,2026-07-12T00:00:00+00:00,2026-07-12T03:50:00+00:00,0,2026-07-12T00:00:00+00:00,2026-07-12T03:50:00+00:00
56,A6-ECF,A6-ECF,A6-ECF,False,False,UAE930,B77W,WB,CAI,DXB,2026-07-12T05:35:00+00:00,2026-07-12T08:55:00+00:00,0,2026-07-12T05:35:00+00:00,2026-07-12T08:55:00+00:00
57,A6-ECF,A6-ECF,A6-ECF,False,False,UAE131,B773,WB,DXB,DME,2026-07-12T10:45:00+00:00,2026-07-12T17:45:00+00:00,0,2026-07-12T10:45:00+00:00,2026-07-12T17:45:00+00:00
58,A6-ECF,A6-ECF,A6-ECF,False,False,UAE132,B773,WB,DME,DXB,2026-07-12T20:10:00+00:00,2026-07-13T03:05:00+00:00,0,2026-07-12T20:10:00+00:00,2026-07-13T03:05:00+00:00
59,A6-ECG,A6-ECG,A6-ECG,False,False,UAE179,B77W,WB,DXB,WAW,2026-07-06T03:55:00+00:00,2026-07-06T10:15:00+00:00,0,2026-07-06T03:55:00+00:00,2026-07-06T10:15:00+00:00
60,A6-ECG,A6-ECG,A6-ECG,False,False,UAE180,B77W,WB,WAW,DXB,2026-07-06T13:10:00+00:00,2026-07-06T19:20:00+00:00,0,2026-07-06T13:10:00+00:00,2026-07-06T19:20:00+00:00
61,A6-ECG,A6-ECG,A6-ECG,False,False,UAE348,B77W,WB,DXB,SIN,2026-07-06T22:20:00+00:00,2026-07-07T06:05:00+00:00,0,2026-07-06T22:20:00+00:00,2026-07-07T06:05:00+00:00
62,A6-ECG,A6-ECG,A6-ECG,False,False,UAE348,B77W,WB,SIN,KTI,2026-07-07T07:40:00+00:00,2026-07-07T09:40:00+00:00,0,2026-07-07T07:40:00+00:00,2026-07-07T09:40:00+00:00
63,A6-ECG,A6-ECG,A6-ECG,False,False,UAE349,B77W,WB,KTI,SIN,2026-07-07T13:45:00+00:00,2026-07-07T15:45:00+00:00,0,2026-07-07T13:45:00+00:00,2026-07-07T15:45:00+00:00
64,A6-ECG,A6-ECG,A6-ECG,False,False,UAE349,B77W,WB,SIN,DXB,2026-07-07T17:40:00+00:00,2026-07-08T00:50:00+00:00,0,2026-07-07T17:40:00+00:00,2026-07-08T00:50:00+00:00
65,A6-ECG,A6-ECG,A6-ECG,False,False,UAE725,B77W,WB,DXB,DAR,2026-07-08T05:25:00+00:00,2026-07-08T10:50:00+00:00,-55,2026-07-08T04:30:00+00:00,2026-07-08T09:55:00+00:00
66,A6-ECG,A6-ECG,A6-ECG,False,False,UAE726,B77W,WB,DAR,DXB,2026-07-08T12:25:00+00:00,2026-07-08T17:50:00+00:00,-55,2026-07-08T11:30:00+00:00,2026-07-08T16:55:00+00:00
67,A6-ECG,A6-ECG,A6-ECG,False,False,UAE564,B77W,WB,DXB,BLR,2026-07-08T23:20:00+00:00,2026-07-09T03:20:00+00:00,-5,2026-07-08T23:15:00+00:00,2026-07-09T03:15:00+00:00
68,A6-ECG,A6-ECG,A6-ECG,False,False,UAE565,B77W,WB,BLR,DXB,2026-07-09T05:00:00+00:00,2026-07-09T08:45:00+00:00,-5,2026-07-09T04:55:00+00:00,2026-07-09T08:40:00+00:00
69,A6-ECG,A6-ECG,A6-ECG,False,False,UAE131,B77W,WB,DXB,DME,2026-07-09T10:35:00+00:00,2026-07-09T17:45:00+00:00,-20,2026-07-09T10:15:00+00:00,2026-07-09T17:25:00+00:00
70,A6-ECG,A6-ECG,A6-ECG,False,False,UAE132,B77W,WB,DME,DXB,2026-07-09T20:10:00+00:00,2026-07-10T03:05:00+00:00,-20,2026-07-09T19:50:00+00:00,2026-07-10T02:45:00+00:00
71,A6-ECG,A6-ECG,A6-ECG,False,False,UAE506,B77W,WB,DXB,BOM,2026-07-10T05:30:00+00:00,2026-07-10T08:45:00+00:00,-40,2026-07-10T04:50:00+00:00,2026-07-10T08:05:00+00:00
72,A6-ECG,A6-ECG,A6-ECG,False,False,UAE507,B77W,WB,BOM,DXB,2026-07-10T10:30:00+00:00,2026-07-10T13:35:00+00:00,-40,2026-07-10T09:50:00+00:00,2026-07-10T12:55:00+00:00
73,A6-ECG,A6-ECG,A6-ECG,False,False,UAE416,B77W,WB,DXB,SYD,2026-07-10T17:40:00+00:00,2026-07-11T07:30:00+00:00,10,2026-07-10T17:50:00+00:00,2026-07-11T07:40:00+00:00
74,A6-ECG,A6-ECG,A6-ECG,False,False,UAE417,B77W,WB,SYD,DXB,2026-07-11T10:10:00+00:00,2026-07-12T00:30:00+00:00,10,2026-07-11T10:20:00+00:00,2026-07-12T00:40:00+00:00
75,A6-ECG,A6-ECG,A6-ECG,False,False,UAE795,B77W,WB,DXB,CKY,2026-07-12T03:50:00+00:00,2026-07-12T13:05:00+00:00,0,2026-07-12T03:50:00+00:00,2026-07-12T13:05:00+00:00
76,A6-ECG,A6-ECG,A6-ECG,False,False,UAE795,B77W,WB,CKY,DSS,2026-07-12T14:45:00+00:00,2026-07-12T16:10:00+00:00,0,2026-07-12T14:45:00+00:00,2026-07-12T16:10:00+00:00
77,A6-ECG,A6-ECG,A6-ECG,False,False,UAE795,B77W,WB,DSS,DXB,2026-07-12T17:55:00+00:00,2026-07-13T03:40:00+00:00,0,2026-07-12T17:55:00+00:00,2026-07-13T03:40:00+00:00
78,A6-ECH,A6-ECH,A6-ECH,False,False,UAE248,B77W,WB,EZE,GIG,2026-07-06T01:25:00+00:00,2026-07-06T04:10:00+00:00,0,2026-07-06T01:25:00+00:00,2026-07-06T04:10:00+00:00
79,A6-ECH,A6-ECH,A6-ECH,False,False,UAE248,B77W,WB,GIG,DXB,2026-07-06T06:05:00+00:00,2026-07-06T20:35:00+00:00,0,2026-07-06T06:05:00+00:00,2026-07-06T20:35:00+00:00
