label,tf,day_idx,dow,time_utc,contact_capacity,contact_demand,contact_served
final,212,0,Mon,17:40,66,11,10
final,213,0,Mon,17:45,66,10,9
final,214,0,Mon,17:50,66,9,8
final,215,0,Mon,17:55,66,9,8
final,216,0,Mon,18:00,66,10,9
final,217,0,Mon,18:05,66,10,9
final,218,0,Mon,18:10,66,11,10
final,219,0,Mon,18:15,66,11,10
final,220,0,Mon,18:20,66,11,10
final,221,0,Mon,18:25,66,11,10
final,222,0,Mon,18:30,66,12,11
final,223,0,Mon,18:35,66,12,11
final,224,0,Mon,18:40,66,13,12
final,225,0,Mon,18:45,66,13,12
final,226,0,Mon,18:50,66,13,12
final,227,0,Mon,18:55,66,14,13
final,228,0,Mon,19:00,66,18,17
final,229,0,Mon,19:05,66,19,18
final,230,0,Mon,19:10,66,19,18
final,231,0,Mon,19:15,66,19,18
final,232,0,Mon,19:20,66,21,20
final,233,0,Mon,19:25,66,22,21
final,234,0,Mon,19:30,66,24,23
final,235,0,Mon,19:35,66,25,24
final,236,0,Mon,19:40,66,28,27
final,237,0,Mon,19:45,66,31,30
final,238,0,Mon,19:50,66,33,32
final,239,0,Mon,19:55,66,36,35
final,240,0,Mon,20:00,66,36,35
final,241,0,Mon,20:05,66,39,38
final,242,0,Mon,20:10,66,44,43
final,243,0,Mon,20:15,66,44,42
final,244,0,Mon,20:20,66,46,44
final,245,0,Mon,20:25,66,47,45
final,246,0,Mon,20:30,66,50,48
final,247,0,Mon,20:35,66,54,51
final,248,0,Mon,20:40,66,56,53
final,249,0,Mon,20:45,66,60,57
final,250,0,Mon,20:50,66,62,59
final,251,0,Mon,20:55,66,64,61
final,252,0,Mon,21:00,66,66,63
final,253,0,Mon,21:05,66,66,62
final,254,0,Mon,21:10,66,68,63
final,255,0,Mon,21:15,66,69,64
final,256,0,Mon,21:20,66,68,63
final,257,0,Mon,21:25,66,68,63
final,258,0,Mon,21:30,66,68,63
final,259,0,Mon,21:35,66,68,62
final,260,0,Mon,21:40,66,68,61
final,261,0,Mon,21:45,66,68,61
final,262,0,Mon,21:50,66,68,61
final,263,0,Mon,21:55,66,67,60
final,264,0,Mon,22:00,66,64,55
final,265,0,Mon,22:05,66,62,53
final,266,0,Mon,22:10,66,61,52
final,267,0,Mon,22:15,66,58,49
final,268,0,Mon,22:20,66,55,46
final,269,0,Mon,22:25,66,55,46
final,270,0,Mon,22:30,66,50,40
final,271,0,Mon,22:35,66,48,38
final,272,0,Mon,22:40,66,46,36
final,273,0,Mon,22:45,66,45,35
final,274,0,Mon,22:50,66,42,32
final,275,0,Mon,22:55,66,42,32
final,276,0,Mon,23:00,66,41,31
final,277,0,Mon,23:05,66,41,31
final,278,0,Mon,23:10,66,37,27
final,279,0,Mon,23:15,66,36,26
final,280,0,Mon,23:20,66,33,23
final,281,0,Mon,23:25,66,32,22
final,282,0,Mon,23:30,66,30,20
final,283,0,Mon,23:35,66,30,20
final,284,0,Mon,23:40,66,29,19
final,285,0,Mon,23:45,66,28,18
final,286,0,Mon,23:50,66,26,16
final,287,0,Mon,23:55,66,25,15
final,288,1,Tue,00:00,66,24,14
final,289,1,Tue,00:05,66,24,14
final,290,1,Tue,00:10,66,24,14
final,291,1,Tue,00:15,66,24,14
final,292,1,Tue,00:20,66,24,14
final,293,1,Tue,00:25,66,27,17
final,294,1,Tue,00:30,66,31,21
final,295,1,Tue,00:35,66,33,23
final,296,1,Tue,00:40,66,34,24
final,297,1,Tue,00:45,66,36,26
final,298,1,Tue,00:50,66,38,28
final,299,1,Tue,00:55,66,38,28
final,300,1,Tue,01:00,66,40,30
final,301,1,Tue,01:05,66,43,33
final,302,1,Tue,01:10,66,43,33
final,303,1,Tue,01:15,66,46,35
final,304,1,Tue,01:20,66,47,36
final,305,1,Tue,01:25,66,49,38
final,306,1,Tue,01:30,66,50,39
final,307,1,Tue,01:35,66,51,39
final,308,1,Tue,01:40,66,53,41
final,309,1,Tue,01:45,66,55,43
final,310,1,Tue,01:50,66,58,46
final,311,1,Tue,01:55,66,61,49
final,312,1,Tue,02:00,66,63,50
final,313,1,Tue,02:05,66,63,49
final,314,1,Tue,02:10,66,64,50
final,315,1,Tue,02:15,66,66,52
final,316,1,Tue,02:20,66,68,54
final,317,1,Tue,02:25,66,69,55
final,318,1,Tue,02:30,66,70,56
final,319,1,Tue,02:35,66,70,55
final,320,1,Tue,02:40,66,74,59
final,321,1,Tue,02:45,66,74,59
final,322,1,Tue,02:50,66,78,63
final,323,1,Tue,02:55,66,78,63
final,324,1,Tue,03:00,66,79,64
final,325,1,Tue,03:05,66,81,66
final,326,1,Tue,03:10,66,81,65
final,327,1,Tue,03:15,66,83,66
final,328,1,Tue,03:20,66,83,66
final,329,1,Tue,03:25,66,81,64
final,330,1,Tue,03:30,66,81,64
final,331,1,Tue,03:35,66,80,63
final,332,1,Tue,03:40,66,79,62
final,333,1,Tue,03:45,66,77,60
