origin,destination,pax,avg_revenue,inbound_ident,outbound_ident,inbound_arr,outbound_dep,cnx_time_min,indicator,revenue_captured
DPS,BCN,707.0,200.0,UAE399,UAE185,2026-07-12T02:00:00+00:00,2026-07-12T04:00:00+00:00,120.0,1.0,141400.0
BNE,LGW,706.0,200.0,UAE435,UAE15,2026-07-07T01:25:00+00:00,2026-07-07T03:25:00+00:00,120.0,1.0,141200.0
JNB,AMS,706.0,200.0,UAE764,UAE147,2026-07-12T01:50:00+00:00,2026-07-12T03:50:00+00:00,120.0,1.0,141200.0
MAN,JNB,705.0,200.0,UAE20,UAE763,2026-07-10T03:55:00+00:00,2026-07-10T05:55:00+00:00,120.0,1.0,141000.0
IST,MNL,704.0,200.0,UAE122,UAE332,2026-07-12T21:10:00+00:00,2026-07-12T23:10:00+00:00,120.0,1.0,140800.0
SIN,GLA,703.0,200.0,UAE349,UAE27,2026-07-10T00:50:00+00:00,2026-07-10T02:50:00+00:00,120.0,1.0,140600.0
STN,CMB,766.0,200.0,UAE66,UAE650,2026-07-12T20:50:00+00:00,2026-07-12T22:45:00+00:00,115.0,0.9167,140433.33
LYS,MRU,723.0,200.0,UAE82,UAE701,2026-07-11T20:50:00+00:00,2026-07-11T22:55:00+00:00,125.0,0.9708,140382.5
DUR,LHR,744.0,200.0,UAE776,UAE1,2026-07-11T01:05:00+00:00,2026-07-11T03:15:00+00:00,130.0,0.9417,140120.0
DEL,ZRH,721.0,200.0,UAE511,UAE85,2026-07-10T09:00:00+00:00,2026-07-10T11:05:00+00:00,125.0,0.9708,139994.17
HAM,SIN,764.0,200.0,UAE60,UAE348,2026-07-06T20:05:00+00:00,2026-07-06T22:20:00+00:00,135.0,0.9125,139430.0
BKK,DUB,740.0,200.0,UAE375,UAE163,2026-07-06T09:00:00+00:00,2026-07-06T11:10:00+00:00,130.0,0.9417,139366.67
BLR,IAD,717.0,200.0,UAE567,UAE231,2026-07-09T19:20:00+00:00,2026-07-09T21:25:00+00:00,125.0,0.9708,139217.5
MRU,BRU,696.0,200.0,UAE704,UAE183,2026-07-07T01:25:00+00:00,2026-07-07T03:25:00+00:00,120.0,1.0,139200.0
FCO,KUL,694.0,200.0,UAE98,UAE346,2026-07-09T20:45:00+00:00,2026-07-09T22:45:00+00:00,120.0,1.0,138800.0
LHE,MAN,692.0,200.0,UAE625,UAE19,2026-07-10T08:30:00+00:00,2026-07-10T10:30:00+00:00,120.0,1.0,138400.0
HYD,MCO,689.0,200.0,UAE529,UAE219,2026-07-08T20:15:00+00:00,2026-07-08T22:15:00+00:00,120.0,1.0,137800.0
SYD,CDG,729.0,200.0,UAE413,UAE73,2026-07-07T01:15:00+00:00,2026-07-07T03:25:00+00:00,130.0,0.9417,137295.0
BNE,DUB,686.0,200.0,UAE435,UAE161,2026-07-07T01:25:00+00:00,2026-07-07T03:25:00+00:00,120.0,1.0,137200.0
HYD,BOS,686.0,200.0,UAE525,UAE237,2026-07-12T02:45:00+00:00,2026-07-12T04:45:00+00:00,120.0,1.0,137200.0
LAX,HYD,686.0,200.0,UAE216,UAE524,2026-07-11T15:50:00+00:00,2026-07-11T17:50:00+00:00,120.0,1.0,137200.0
AKL,HAM,151.0,908.43,UAE449,UAE59,2026-07-10T02:35:00+00:00,2026-07-10T04:35:00+00:00,120.0,1.0,137173.03
DUS,SIN,727.0,200.0,UAE56,UAE348,2026-07-10T20:10:00+00:00,2026-07-10T22:20:00+00:00,130.0,0.9417,136918.33
OSL,BKK,684.0,200.0,UAE160,UAE384,2026-07-09T20:45:00+00:00,2026-07-09T22:45:00+00:00,120.0,1.0,136800.0
CDG,HKG,683.0,200.0,UAE74,UAE382,2026-07-12T20:20:00+00:00,2026-07-12T22:20:00+00:00,120.0,1.0,136600.0
HYD,SEA,703.0,200.0,UAE525,UAE229,2026-07-09T02:45:00+00:00,2026-07-09T04:50:00+00:00,125.0,0.9708,136499.17
MRU,DUS,703.0,200.0,UAE704,UAE55,2026-07-11T01:25:00+00:00,2026-07-11T03:30:00+00:00,125.0,0.9708,136499.17
HYD,LHR,682.0,200.0,UAE527,UAE3,2026-07-11T08:25:00+00:00,2026-07-11T10:25:00+00:00,120.0,1.0,136400.0
PER,MAN,682.0,200.0,UAE421,UAE17,2026-07-12T01:20:00+00:00,2026-07-12T03:20:00+00:00,120.0,1.0,136400.0
CAI,MLE,680.0,200.0,UAE924,UAE656,2026-07-12T20:40:00+00:00,2026-07-12T22:40:00+00:00,120.0,1.0,136000.0
HKG,FCO,792.0,200.0,UAE381,UAE97,2026-07-07T01:25:00+00:00,2026-07-07T03:50:00+00:00,145.0,0.8542,135300.0
SFO,AMD,764.0,200.0,UAE226,UAE538,2026-07-12T16:30:00+00:00,2026-07-12T18:50:00+00:00,140.0,0.8833,134973.33
HAM,CMB,762.0,200.0,UAE60,UAE650,2026-07-08T20:10:00+00:00,2026-07-08T22:30:00+00:00,140.0,0.8833,134620.0
MRU,GVA,673.0,200.0,UAE704,UAE89,2026-07-07T01:25:00+00:00,2026-07-07T03:25:00+00:00,120.0,1.0,134600.0
ZRH,ICN,673.0,200.0,UAE88,UAE322,2026-07-09T20:45:00+00:00,2026-07-09T22:45:00+00:00,120.0,1.0,134600.0
BOM,LAX,672.0,200.0,UAE501,UAE215,2026-07-12T02:25:00+00:00,2026-07-12T04:25:00+00:00,120.0,1.0,134400.0
MXP,BKK,733.0,200.0,UAE92,UAE370,2026-07-10T03:05:00+00:00,2026-07-10T05:00:00+00:00,115.0,0.9167,134383.33
FCO,BNE,947.0,200.0,UAE96,UAE434,2026-07-09T02:50:00+00:00,2026-07-09T05:40:00+00:00,170.0,0.7083,134158.33
LED,MLE,670.0,200.0,UAE176,UAE652,2026-07-09T03:45:00+00:00,2026-07-09T05:45:00+00:00,120.0,1.0,134000.0
SIN,MAN,810.0,200.0,UAE349,UAE17,2026-07-12T00:50:00+00:00,2026-07-12T03:20:00+00:00,150.0,0.825,133650.0
BHX,MRU,668.0,200.0,UAE40,UAE701,2026-07-11T20:55:00+00:00,2026-07-11T22:55:00+00:00,120.0,1.0,133600.0
BOM,SEA,781.0,200.0,UAE501,UAE229,2026-07-10T02:40:00+00:00,2026-07-10T05:05:00+00:00,145.0,0.8542,133420.83
AKL,MUC,135.0,987.09,UAE449,UAE49,2026-07-10T02:35:00+00:00,2026-07-10T04:35:00+00:00,120.0,1.0,133257.27
MEL,AMS,754.0,200.0,UAE407,UAE147,2026-07-08T01:15:00+00:00,2026-07-08T03:35:00+00:00,140.0,0.8833,133206.67
BOM,CDG,707.0,200.0,UAE501,UAE73,2026-07-09T02:20:00+00:00,2026-07-09T04:30:00+00:00,130.0,0.9417,133151.67
MXP,SIN,867.0,200.0,UAE206,UAE348,2026-07-06T19:40:00+00:00,2026-07-06T22:20:00+00:00,160.0,0.7667,132940.0
LIS,HKG,663.0,200.0,UAE192,UAE382,2026-07-09T21:15:00+00:00,2026-07-09T23:15:00+00:00,120.0,1.0,132600.0
CPH,BKK,658.0,200.0,UAE152,UAE384,2026-07-12T20:45:00+00:00,2026-07-12T22:45:00+00:00,120.0,1.0,131600.0
BCN,SYD,656.0,200.0,UAE256,UAE414,2026-07-11T20:15:00+00:00,2026-07-11T22:15:00+00:00,120.0,1.0,131200.0
MAN,MLE,656.0,200.0,UAE18,UAE656,2026-07-06T20:25:00+00:00,2026-07-06T22:25:00+00:00,120.0,1.0,131200.0
NRT,BCN,656.0,200.0,UAE319,UAE185,2026-07-07T01:05:00+00:00,2026-07-07T03:05:00+00:00,120.0,1.0,131200.0
MAD,ICN,655.0,200.0,UAE142,UAE322,2026-07-12T20:40:00+00:00,2026-07-12T22:40:00+00:00,120.0,1.0,131000.0
DPS,JFK,654.0,200.0,UAE399,UAE201,2026-07-12T02:00:00+00:00,2026-07-12T04:00:00+00:00,120.0,1.0,130800.0
MNL,BRU,654.0,200.0,UAE337,UAE181,2026-07-09T08:05:00+00:00,2026-07-09T10:05:00+00:00,120.0,1.0,130800.0
STN,BNE,713.0,200.0,UAE68,UAE434,2026-07-09T03:45:00+00:00,2026-07-09T05:40:00+00:00,115.0,0.9167,130716.67
MAD,SYD,653.0,200.0,UAE142,UAE414,2026-07-12T20:40:00+00:00,2026-07-12T22:40:00+00:00,120.0,1.0,130600.0
LGW,HYD,651.0,200.0,UAE12,UAE524,2026-07-12T16:00:00+00:00,2026-07-12T18:00:00+00:00,120.0,1.0,130200.0
DAC,VCE,816.0,200.0,UAE585,UAE135,2026-07-12T01:30:00+00:00,2026-07-12T04:05:00+00:00,155.0,0.7958,129880.0
